,Player,Translated,Compounded_polarity,Sentiment
1647,MS Dhoni,"Kane: ""Ye trophy main hee uthaunga""

Dhoni: ""Theek hai bhai tu uthale, and the house pe pahucha dena""

# CSKvSRH ... https://t.co/6GOzrv8Vv0",0.0,Neutral
1663,MS Dhoni,"God, Dhoni has some luck... Someone check his horoscope 🙄 #IPL2018Final #VIVOIPL2018",2.732,Positive
1726,MS Dhoni,Shane Watson doesn't want Dhoni to hit a last ball Six!! #CSKvsSRH #IPL2018Final,-2.037,Negative
1749,MS Dhoni,Dhoni is standing in the dressing room like 1st IPL match.. He is waiting to give his trademark smile after the win… https://t.co/doHZsrm9PR,6.1240000000000006,Positive
1797,MS Dhoni,"RT @DanishSait: Weird conversation at a bar in Bengaluru, “Brooo, I don’t want CSK to win; but I want Dhoni &amp; SRH to win” This has to be th…",3.9190000000000005,Positive
1803,MS Dhoni,"So that's it. It's #CSK ✌️
Congrats #Dhoni team 👏
Brilliant batting #Watson 👏👌
#WhistlePodu #IPL2018Final",8.02,Positive
1808,MS Dhoni,"Shane Watson to #SRH Bowlers

#SRHvCSK #CSKvSRH #IPL2018Final #Shanewatson #CSK #Msdhoni https://t.co/5k2LzhsuAt",0.0,Neutral
1839,MS Dhoni,"RT @James_Beyond: Kane: ""Ye trophy main hee uthaunga""

Dhoni: ""Theek hai bhai tu uthale, and the house pe pahucha dena""

#CSKvSRH # IPL2018F ...",0.0,Neutral
1904,MS Dhoni,#SRH might as well give up. Dhoni can make these remaining runs blindfolded  #IPL2018Final #CSKvSRH,2.732,Positive
1911,MS Dhoni,"#IPL2018Final #CSKvSRH  @msdhoni is going to retired from @IPL today after lifting the cup...

@cricbuzz #CBhaveyoursay",0.0,Neutral
1946,MS Dhoni,"Super Duper POWER Hitting By Wattson
Watt hi laga Di Wattson Nai💛

Watson 80 from 44 Balls

This is call @msdhoni T… https://t.co/E5BwDL8unk",5.994000000000001,Positive
1971,MS Dhoni,"I think after a wicket, instead of Rayudu, Dhoni will come in to finish the match in style.
#IPL2018Final",0.0,Neutral
1982,MS Dhoni,"From Dhoni Dhoni I will cheer like Messi Messi.. we want goal
#MeriDoosriCountry #IPL2018Final #CSKvsSRH https://t.co/cR5KFJtPYA",7.269,Positive
1995,MS Dhoni,This is the @msdhoni effect. Captain Kane holding back Rashid for the #MSD and #Shanewatson punches Sandeep Sharma… https://t.co/RNj6oZaQ7R,0.0,Neutral
2025,MS Dhoni,"#IPL2018Final #CSKvSRH 
#Dhoni Rape started by #Watson
I think  rape is small word...",-8.86,Negative
2062,MS Dhoni,"Dhoni: A script that matches the script, lets you add it to your logo.

# IPL2018Final https://t.co/SqUpKFciNF",0.0,Neutral
2089,MS Dhoni,"RT @hellorahul09: Dhoni is playing in Watson’s Body!!

 #IPL2018Final",3.365,Positive
2104,MS Dhoni,"Who owns #CSK?
Mrs Dhoni?
#IPL2018Final",0.0,Neutral
2137,MS Dhoni,"Shane Watson is going to CSK, he is going to win the final match.

Dhoni's pace has been shaunted by Watson ... https://t.co/J7bhLCRFbr",5.859,Positive
2141,MS Dhoni,"Where is the end now?
Dhoni will not finish finishing https://t.co/na92Ey52VW",0.0,Neutral
2168,MS Dhoni,RT @GabbbarSingh: Dhoni's plan to neutralize Rashid Khan in action. #IPL2018Final,0.0,Neutral
2171,MS Dhoni,"A bengali translating English to Tamil.. thats what Dhoni magic does to you!
நன்றி மச்சா டோனி! #IPL2018Final #CSKvSRH",0.0,Neutral
2172,MS Dhoni,Sab kuch sahi ho rha hai ab bas dhoni last ball pe six marde to mja aajayega #IPL2018Final,0.0,Neutral
2294,MS Dhoni,CSK is always mother of match fixing in IPL..dhoni involved as well..in India no law works #IPL2018Final,-2.96,Negative
2297,MS Dhoni,Do we get chance to see Dhoni's game? #CSKvSRH #IPL2018Final,2.5,Positive
2309,MS Dhoni,"RT @deepvalesha: Shane Watson to #SRH Bowlers

#SRHvCSK #CSKvSRH #IPL2018Final #Shanewatson #CSK #Msdhoni https://t.co/5k2LzhsuAt",0.0,Neutral
2367,MS Dhoni,"RT @ robangill2: Mahendra Singh Dhoni has decided not to take any action: Salman Khan @BeingSalmanKhan

#CSKvSRH # IPL2018Final",0.0,Neutral
2408,MS Dhoni,"@ChennaiIPL Congrats on winning IPL 2018
@msdhoni superb captaincy, will miss till next IPL. 
@DainikBhaskar… https://t.co/yGVLlv5L9Y",8.834,Positive
2409,MS Dhoni,"RT @KKRiders: .@ChennaiIPL Skipper MS Dhoni has won the toss and chooses to bowl first against @SunRisers in the #IPL2018Final!

#CSKvSRH h…",6.114000000000001,Positive
2466,MS Dhoni,"RT @rjtuhin: Dhoni is upset with Watson, because he can't win the final with his signature shot. 🤣🤣
#VIVOIPL #IPL2018Final #CSKvSRH",-6.879999999999999,Negative
2482,MS Dhoni,Finally #AfterTWOyears #Csk #Roaring with #Crown #King #ThalaDhoni  @msdhoni  @ChennaiIPL #CSKvSRH #WhistlePodu… https://t.co/joPBkHAtCT,0.0,Neutral
2496,MS Dhoni,"RT @gooljaar: Dhoni: It's a match-by-script, you can add it to your logo.

# IPL2018Final https://t.co/SqUpKFciNF",0.0,Neutral
2504,MS Dhoni,"# IPL2018Final
One sided match ...

Dhoni Bhai",0.0,Neutral
2518,MS Dhoni,"So, should we celebrating for #Dhoni and #CSK ?
I think This over of Sandeep sharma will be the game changer one?… https://t.co/JrfwjA2nLH",6.5120000000000005,Positive
2539,MS Dhoni,"#IPL2018Final 
Good night 
Congrats @msdhoni 😎 https://t.co/mMU2LPFaZx",7.43,Positive
2609,MS Dhoni,"#IPL2018Final 
East na West 
@ChennaiIPL is the best |
🎂🎂🎂🎂🎂
@ImRaina
@msdhoni",6.369,Positive
2629,MS Dhoni,That's quite some smocking by Watson. Man i'm thrilled now 😁😁 CSK...CSK. For Dhoni this time #IPL2018Final #CSKvSRH,4.404,Positive
2713,MS Dhoni,Watson is Perfect example that captaincy matters. Under Virat he was rubbish. Look what Dhoni did with him. Match w… https://t.co/xeGg6KmTWO,5.859,Positive
2763,MS Dhoni,Match almost over! @msdhoni does it yet again! Chennai #IPL2018Final Champions. Too early to tweet this? 😀,6.103,Positive
2799,MS Dhoni,"#Raina gone, will Dhoni come in? 

#CSKvsSRH
#IPL2018Final",0.0,Neutral
2812,MS Dhoni,"Two things never changes
1 - Ms Dhoni finishing with a six
2 - S Raina getting out on a bouncer
#CSKvSRH #IPL2018Final",0.0,Neutral
2845,MS Dhoni,"So, Raina gone!
Can’t wait for Dhoni to come n finish it! 😅😂 #CSKvsSRH
#IPL2018Final",0.0,Neutral
2855,MS Dhoni,Idali Vada Sambar ne Birayani ki gayi .. # IPL2018Final #CSKvsSRH #CSKvSRH # IPLFinal2018 #MSDhoni #Raina # Wankhede ... https://t.co/rm2pxB6n80,0.0,Neutral
2861,MS Dhoni,"I want Dhoni at No.4.
#IPL2018Final",0.772,Positive
2874,MS Dhoni,"Dhoni should come now and give everyone what all of us deserve: The winning six in the last ball. 

#IPL2018Final",5.2669999999999995,Positive
2889,MS Dhoni,"Congratulations DHONI Super Kings 🎊💐🎉🎉💐
#IPL2018Final #CSKvSRH",8.316,Positive
2909,MS Dhoni,"@msdhoni 
One man army.
#IPL2018Final 
@ChennaiIPL",0.0,Neutral
2936,MS Dhoni,"@virendersehwag It's elementarly simple for my dear #Watson 
#CSKvSRH #IPL2018Final 
@msdhoni",3.8179999999999996,Positive
3051,MS Dhoni,Now will come Dhoni and the match will take the tena in the twentieth over. # IPL2018Final,0.0,Neutral
3080,MS Dhoni,"#dhoni_rocks  
#IPL2018Final 
#SRHvsCSK 
#CSKvsSRH 
#CSKvSRH
😎😎✌️✌️",0.0,Neutral
3113,MS Dhoni,"Where's Dhoni 😦😬
#IPL2018Final",0.0,Neutral
3141,MS Dhoni,"#IPL2018Final  #CSKvSRH 

we Are the King
We Are The king
Chennai super king

@ChennaiIPL  @msdhoni  @ImRaina",5.994000000000001,Positive
3176,MS Dhoni,"RT @BadassSalmaniac: l Like Dhoni A Lot - @BeingSalmanKhan 
 #IPL2018Final",3.612,Positive
3183,MS Dhoni,"RT @UrsTruly_Nijam: Congratulations DHONI Super Kings 🎊💐🎉🎉💐
#IPL2018Final #CSKvSRH",8.316,Positive
3241,MS Dhoni,Dhoni Saab - @BeingSalmanKhan !! #PartyTohBantiHai #IPL2018Final #Race3ThisEid #Race3,0.0,Neutral
3245,MS Dhoni,"I think I couldn't see the battle between Dhoni &amp; Rashid Khan in this #IPL2018Final because of Shane Watson!

The w… https://t.co/7lEGvQmKOQ",3.5610000000000004,Positive
3255,MS Dhoni,"Finish with a @msdhoni SIX, What Say ???

#IPL2018Final #CSKvSRH #WhistlePodu @ChennaiIPL @IPL",0.0,Neutral
3302,MS Dhoni,"Elementary My Dear Watson.
#CSKvSRH #IPL #IPLFinal #IPL2018Final #CSK #MSDhoni #Watson #CricbuzzLive",3.8179999999999996,Positive
3353,MS Dhoni,Can we please get Dhoni in for that last six?? Pretty Please!! ☺️ #IPL2018Final #IPLT20 #CSKvSRH,8.291,Positive
3377,MS Dhoni,@msdhoni  cricket ka acha @narendramodi  hai #IPL2018Final #CSKvsSRH @IPL #IPLFinal,0.0,Neutral
3417,MS Dhoni,TV off. Can’t take the stress. Pls make my CSK win. See you when MahiMan @msdhoni is holding the trophy. Tab tak du… https://t.co/OC4kadMYHb,3.182,Positive
3426,MS Dhoni,#IPLFinals feelimg awesome comeon @ChennaiIPL bring home cup v need a gift @msdhoni @MSDhonifansclub @ShaneRWatson33 #CSKvSRH #IPL2018Final,7.906,Positive
3427,MS Dhoni,I believe @ChennaiIPL will win as no chance @msdhoni loosing in #IPL2018Final #CSKvsSRH,5.574,Positive
3428,MS Dhoni,Williamson saving rashid for Msd and Dhoni be like ... Bhai mai ni aara abi abht batting baaki hai ... #CSKvSRH # IPL2018Final #IPLFinal,3.612,Positive
3439,MS Dhoni,"# IPL2018Family Dhoni can compete with no lion, no foxes",-5.2669999999999995,Negative
3456,MS Dhoni,#IPL2018Final #CSKvSRH IPL is fix this does not seem like a final match. Just to make Dhoni n CSK fan happy.,5.9799999999999995,Positive
3504,MS Dhoni,"Play if you want to play
                                     But there is so much of determination.
Dhoni's captaincy and Watson's bat ... https://t.co/wUzfWCjpRs",7.943,Positive
3510,MS Dhoni,RT @gauravkalra75: Dhoni has used 5 of his bikes in the first 8 overs  #CSKvSRH #IPL2018Final,0.0,Neutral
3512,MS Dhoni,"Watson will not let dhoni finish the match this time..😅
 #CSKvsSRH
#IPL2018Final",0.0,Neutral
3521,MS Dhoni,"RT @bhaleraosarang: Players who were part of IPL 2008 and IPL 2018 finals
MS Dhoni
Suresh Raina
Ravindra Jadeja
Shane Watson 
Yusuf Pathan…",0.0,Neutral
3556,MS Dhoni,"I think I couldn't see the battle between Dhoni &amp; Rashid Khan in this #IPL2018Final because of Shane Watson!

The w… https://t.co/Q4Fg4ggcaq",3.5610000000000004,Positive
3576,MS Dhoni,"@StarSportsIndia @msdhoni @SunRisers I've same watch like @msdhoni ⌚️ 
@ChennaiIPL #WhistlePodu  #YelloveFinals… https://t.co/7HTnvACGbU",3.612,Positive
3592,MS Dhoni,#IPL2018Final #Dhoni finishing shot,0.0,Neutral
3604,MS Dhoni,"@SunRisers finally get their Important breakthrough; however the dangerman @msdhoni is yet to come! 
#CSKvSRH… https://t.co/B2RYHtulwR",2.7139999999999995,Positive
3606,MS Dhoni,"@TecnoMobileInd #WinWithTecno #IPL2018Final #CSKvSRH #Contest #ContestAlert

MY FOCUS PLAYER IS M. S. DHONI
Spottin… https://t.co/pUbmtuktIm",0.0,Neutral
3620,MS Dhoni,RT @AsliDevil: Dhoni Saab - @BeingSalmanKhan !! #PartyTohBantiHai #IPL2018Final #Race3ThisEid #Race3,0.0,Neutral
3640,MS Dhoni,#IPL2018Final : Will dhoni even come to bat? How can they win without that amazing finisher six :D,6.967,Positive
3656,MS Dhoni,"#CSKvsSRH, #IPL2018Final: MS Dhoni does a split-second stumping to dismiss Kane Williamson - watch video

https://t.co/APQDzt6FQ6",0.0,Neutral
3697,MS Dhoni,It’s really cute and at the same time satisfying to see ppl admiring Dhoni now when they never liked him before !… https://t.co/RccyLAaRef,7.816,Positive
3743,MS Dhoni,Watson made mockery of this chase #IPL2018Final #CSKvSRH #IPLfinal #dhonifan #IPL2018Final #CSKSuperFan,-3.182,Negative
3747,MS Dhoni,RT @ 2bottle_down: Idali vada Sambar ne Birayani ki gayi .. # IPL2018 Final #CSKvsSRH #CSKvSRH # IPLFinal2018 #MSDhoni #Raina #Wankhede # Watson ...,0.0,Neutral
3758,MS Dhoni,"CSK all the way ...champion stuff from Chennai super kings, a 3rd IPL title just looks just a formality now ,Dhoni… https://t.co/TKUmrZzeMj",5.994000000000001,Positive
3820,MS Dhoni,Turns out Dhoni knows what he's doing #IPL2018Final,0.0,Neutral
3854,MS Dhoni,"Dhoni, Raina, Yusuf, Jadeja, Watson played in 2008 finals

Dhoni, Raina, Yusuf, Jadeja, Watson playing in 2018 fina… https://t.co/anZklmtt67",4.939,Positive
3865,MS Dhoni,"RT @Jableen: It’s really cute and at the same time satisfying to see ppl admiring Dhoni now when they never liked him before ! 

What hypoc…",7.816,Positive
3886,MS Dhoni,Only Dhoni can save match for srh now #IPL2018Final,4.939,Positive
3904,MS Dhoni,I want to know what Dhoni told the team in the team hurdle. Please ask him about it. @bhogleharsha @StarSportsIndia #IPL2018Final #CSKvSRH,3.8179999999999996,Positive
3941,MS Dhoni,"@TecnoMobileInd #WinWithTecno #IPL2018Final #CSKvSRH #Contest #ContestAlert

MY FOCUS PLAYER IS M. S. DHONI
Spottin… https://t.co/Bk2bADbvn9",0.0,Neutral
3989,MS Dhoni,"RT @TimesNow: #CSKvsSRH, #IPL2018Final: MS Dhoni does a split-second stumping to dismiss Kane Williamson - watch video

https://t.co/APQDzt…",0.0,Neutral
4008,MS Dhoni,"It should have been @msdhoni so we could watch his winning six @ChennaiIPL @IPL @StarSportsIndia @starindia 
#CSKvRCB 
#IPL2018Final",5.2669999999999995,Positive
4024,MS Dhoni,#IPL2018Final #CSKvSRH csk win conform 3rd cup csk #Dhoni,5.859,Positive
4029,MS Dhoni,"RT @SOWMYEON: Dhoni game strategies...
Me:................
#CSKvSRH #SRH #IPL2018Final https://t.co/9RCcpw1Wcr",0.0,Neutral
4030,MS Dhoni,RT @Aruvi_Aravintan: My dear thala @msdhoni pls speak about #Thoothukudi people after winning the #IPL2018Final  @ChennaiIPL #CSKvsSRH,7.43,Positive
4035,MS Dhoni,Now with the match almost won! Can I please hope #Dhoni to score the winning runs! #IPL2018Final #CSKvsSRH,9.067,Positive
4070,MS Dhoni,"RT @rgcricket: Five players playing tonight were also there in the final of first IPL!

Suresh Raina
MS Dhoni
Shane Watson
Yusuf Pathan
Rav…",2.7139999999999995,Positive
4074,MS Dhoni,"Looks like Bhuvi is the only bowler who refused to take the 'payment' from Dhoni for this game

#IPL2018Final 
#CSKvSRH",0.772,Positive
4081,MS Dhoni,RT @DhonixFaithful: I want to know what Dhoni told the team in the team hurdle. Please ask him about it. @bhogleharsha @StarSportsIndia #IP…,3.8179999999999996,Positive
4101,MS Dhoni,#IPL2018Final now final dhoni finish with six6,0.0,Neutral
4131,MS Dhoni,#IPL2018Final Shane to dhoni ...my leg is hurting  dhoni-- don't move just stand and hit sixes ..#CSKvsSRH,-4.019,Negative
4163,MS Dhoni,"@TecnoMobileInd #WinWithTecno #IPL2018Final #CSKvSRH #Contest #ContestAlert

MY FOCUS PLAYER IS M. S. DHONI
Spottin… https://t.co/Q7anFDmCfX",0.0,Neutral
4223,MS Dhoni,"RT @iSinghApurva: #IPL2018Final 
All the very best @msdhoni 
Chennai super duper KINGS!!!
💐💐💐💐",8.825,Positive
4296,MS Dhoni,Looks like it was Watson in Dhoni’s mask. Lol 😂 https://t.co/dyS0xiwePp,6.486,Positive
4328,MS Dhoni,What a pertinent point my wife @Tanyas2905 makes while watching #IPL2018Final ; @msdhoni &amp; @narendramodi have becom… https://t.co/1LBUFIBZTG,0.0,Neutral
4345,MS Dhoni,"RT @TiimesHow: Breaking News : UNESCO has declared Stumping of M S Dhoni as the fastest thing on Earth surpassing the speed of light.

#IPL…",0.0,Neutral
4353,MS Dhoni,"What did Dhoni send to Watson?
Kill all the balls and turn off the switch.
# IPL2018Final",-6.9079999999999995,Negative
4396,MS Dhoni,"Chennai Super Kings❤❤
Dhoni about to win another trophy yet again .. World's Best Captain  for a reason❤❤
#CSKvSRH #IPL2018Final #IPL2018",9.169,Positive
4397,MS Dhoni,"# IPL2018Final DHONI TO WATSON ---- It's been late for you
Thankfully, even then,
Aas never left the heart
Well we d ... https://t.co/mn3i9DbSiu",8.126,Positive
4414,MS Dhoni,It’s really cute and at the same time satisfying to see ppl admiring Dhoni now when they never liked him before !… https://t.co/ZMrsVgCnz5,7.816,Positive
4465,MS Dhoni,"Abki baar Dhoni sarkar 😂😂💪
#CSKvSRH #IPL2018Final #Dhoni",0.0,Neutral
